200,-203,620,-16610,-5,-6,-1,-230,598,-16562,-6,-8,-5,-185,585,-16569,-5,-9,-5,-197,571,-16627,0,-9,-6,-167,597,-16580,-2,-6,-6
201,-198,587,-16595,-5,-9,-5,-203,602,-16622,-1,-9,-3,-197,584,-16618,-3,-8,-3,-210,590,-16577,-2,-8,-3,-218,579,-16617,0,-8,-4
202,-205,594,-16598,-4,-9,-5,-198,571,-16610,-2,-9,-3,-208,558,-16600,-3,-10,-4,-200,567,-16565,-4,-9,-4,-211,601,-16630,-2,-5,-4
203,-180,593,-16576,-2,-8,-4,-195,582,-16622,1,-12,-4,-189,604,-16601,0,-9,-4,-164,589,-16613,-1,-9,-4,-200,595,-16626,0,-9,-4
204,-171,575,-16579,1,-9,-3,-153,566,-16612,-1,-9,-6,-177,575,-16606,-1,-6,-5,-176,593,-16597,-3,-7,-7,-181,575,-16610,-3,-9,-6
205,-225,582,-16589,1,-7,-7,-170,561,-16655,-1,-7,-2,-111,596,-16665,-1,-7,-5,-208,584,-16600,-1,-10,-5,-178,569,-16622,0,-7,-6
206,-163,582,-16629,1,-9,-5,-228,569,-16603,0,-8,-6,-210,581,-16615,0,-6,-5,-188,592,-16639,-4,-9,-4,-196,600,-16640,0,-8,-1
207,-217,582,-16597,-1,-10,-3,-215,624,-16578,0,-9,-4,-185,617,-16612,2,-8,-4,-162,604,-16660,1,-9,-5,-166,591,-16673,3,-6,-6
208,-162,579,-16649,0,-9,-4,-179,587,-16635,-2,-9,-3,-138,590,-16595,-1,-8,-1,-166,598,-16628,0,-8,-3,-179,608,-16614,-1,-7,-3
209,-165,570,-16606,-1,-6,-2,-163,624,-16590,-1,-4,-1,-144,638,-16597,-1,-3,-3,-135,601,-16622,1,-9,-5,-148,585,-16582,0,-9,-6
210,-207,609,-16607,0,-8,-4,-180,596,-16605,1,-8,-6,-183,591,-16594,-1,-6,-6,-191,600,-16611,-1,-6,-4,-201,579,-16569,1,-7,-4
211,-144,591,-16663,-6,-5,-2,-145,620,-16586,-3,-4,-2,-152,604,-16586,-3,-6,-2,-98,633,-16598,-4,-7,-1,-143,652,-16635,0,-6,-7
212,-184,616,-16653,-1,-9,-7,-173,573,-16630,0,-8,-7,-175,567,-16609,-3,-9,-3,-185,584,-16600,-2,-9,-6,-183,557,-16647,-1,-7,-2
213,-158,577,-16632,-1,-9,-4,-183,586,-16618,-2,-10,-4,-159,586,-16635,-4,-7,-5,-181,595,-16611,-2,-7,-6,-209,589,-16609,-1,-7,-5
214,-218,557,-16588,0,-10,-4,-168,578,-16605,-1,-10,-9,-215,607,-16632,0,-8,-7,-187,602,-16612,-2,-7,-5,-187,570,-16635,3,-9,-7
215,-146,588,-16585,1,-5,-3,-143,561,-16576,0,-6,-3,-131,572,-16579,1,-9,-1,-165,582,-16645,-2,-9,-3,-201,553,-16651,1,-10,-2
216,-163,572,-16630,-2,-7,-4,-173,565,-16628,-2,-9,-2,-151,590,-16640,-1,-9,-3,-169,588,-16616,1,-8,-3,-166,558,-16583,0,-11,-4
217,-116,532,-16768,-4,-15,4,-87,538,-16746,-3,-15,-8,-106,450,-16566,7,-6,-12,-183,468,-16605,0,0,-9,-209,483,-16642,-3,-11,1
218,-129,572,-16625,-1,-6,-6,-122,543,-16604,2,-8,-5,-174,541,-16627,-1,-8,-3,-173,566,-16642,0,-9,-2,-138,577,-16639,-2,-7,-3
219,-128,593,-16637,-3,-8,-3,-144,579,-16628,-1,-8,-3,-166,584,-16643,1,-8,-1,-141,605,-16584,-2,-8,-6,-126,598,-16600,-1,-12,-3
220,-179,615,-16615,0,-9,-2,-191,598,-16577,0,-8,-4,-165,578,-16577,1,-8,-2,-211,558,-16593,-1,-7,-5,-205,572,-16607,-1,-7,-4
221,-180,441,-16468,5,0,-9,-220,486,-16603,1,-2,-3,-262,518,-16692,-3,-10,-3,-291,556,-16793,-2,-15,-4,-237,530,-16781,-3,-13,-6
222,-200,565,-16582,-1,-7,-4,-144,604,-16610,-1,-7,-2,-169,597,-16622,-1,-7,-3,-183,601,-16577,-2,-8,-5,-170,611,-16607,-1,-9,-5
223,-120,557,-16594,1,-7,-3,-151,590,-16611,-1,-8,-3,-170,601,-16637,0,-8,-8,-182,558,-16611,2,-9,-5,-193,561,-16606,3,-8,-2
224,-172,593,-16612,1,-11,-2,-149,608,-16626,0,-10,-2,-161,612,-16609,-4,-8,-4,-178,622,-16588,0,-8,-6,-210,633,-16574,2,-10,-6
225,-142,595,-16667,2,-11,-4,-198,588,-16640,1,-10,-3,-142,549,-16603,2,-6,-5,-128,536,-16627,0,-6,-4,-185,584,-16637,-1,-7,-1
226,-150,588,-16619,1,-8,-6,-172,531,-16631,4,-7,-4,-194,546,-16615,0,-9,-6,-192,569,-16616,-2,-13,-6,-177,570,-16672,-1,-10,-4
227,-118,580,-16619,-1,-8,-5,-155,599,-16616,2,-11,-3,-192,595,-16629,-1,-12,-1,-167,577,-16588,-1,-11,-5,-201,580,-16610,-1,-7,-4
228,-163,562,-16609,0,-8,-5,-141,545,-16630,-4,-5,-3,-151,582,-16643,-1,-8,-5,-143,610,-16625,-1,-9,-5,-157,577,-16628,-3,-11,-2
229,-469,-770,-16730,-26,-56,109,-302,-904,-16165,-4,-97,75,-537,-839,-16428,-1,-83,77,-536,-943,-16550,18,-68,70,-530,-993,-16523,33,-49,59
230,-487,-870,-16600,51,-10,38,-508,-774,-16654,50,-8,46,-597,-976,-16632,46,-8,53,-564,-823,-16731,46,-17,62,-469,-788,-16661,47,-22,65
231,-752,-1112,-16598,3,-9,-1,-756,-1118,-16579,1,-7,-1,-886,-1111,-16497,0,-8,-1,-873,-1059,-16348,-10,-15,-13,-663,-1021,-16463,-34,2,-36
232,-670,-1370,-16637,-44,65,-63,-515,-1722,-16712,-50,58,-73,-594,-1632,-16772,-45,38,-70,-641,-1652,-16652,-45,17,-64,-719,-1634,-16576,-44,3,-57
233,-463,-634,-16606,-83,-19,62,-526,-635,-16676,-78,-15,53,-461,-524,-16660,-74,-5,39,-340,-390,-16676,-78,7,26,-272,-329,-16542,-77,24,-1
234,-648,-657,-16649,-2,-7,-3,-625,-644,-16613,-2,-5,-2,-585,-612,-16586,-2,-2,-3,-560,-600,-16580,-4,-3,-3,-585,-603,-16589,-2,-4,-5
235,-47,-1057,-17019,-5,210,77,-121,-1026,-16997,21,191,104,872,-244,-17107,40,126,105,166,-460,-17549,45,97,101,418,-818,-17610,71,1,77
236,-607,-877,-16628,2,2,-8,-608,-906,-16638,4,3,-10,-626,-908,-16635,3,-2,-8,-610,-923,-16620,7,-7,-6,-587,-896,-16641,10,-19,-3
237,-672,-871,-16594,-3,-10,-2,-693,-864,-16562,-1,-6,-2,-659,-875,-16561,-1,-6,-6,-684,-861,-16584,-3,-6,-5,-673,-849,-16626,-2,-4,-5
238,-631,-883,-16596,0,-8,-3,-579,-849,-16626,-1,-8,-3,-618,-873,-16595,3,-7,-3,-627,-883,-16603,1,-8,-3,-623,-918,-16670,-3,-9,-3
239,-671,-913,-16597,3,-9,-2,-668,-906,-16568,1,-11,-3,-672,-878,-16611,-3,-9,-3,-649,-910,-16620,-2,-8,-4,-646,-910,-16602,-2,-8,-5
240,-598,-943,-16642,-1,-7,-7,-642,-923,-16614,-1,-13,-3,-651,-914,-16599,1,-12,-3,-672,-884,-16612,-2,-13,-4,-646,-873,-16585,-2,-8,-4
241,-668,-862,-16577,1,-8,-4,-675,-877,-16602,-1,-6,-6,-660,-905,-16606,0,-6,-4,-636,-969,-16615,-1,-5,-4,-681,-967,-16611,-1,-6,-4
242,-700,-906,-16651,2,-8,-2,-674,-932,-16627,2,-7,-1,-671,-918,-16598,-1,-5,-2,-622,-916,-16579,-3,-4,-6,-655,-908,-16614,-4,-5,-7
243,-640,-924,-16576,0,-8,-2,-615,-887,-16585,-3,-9,-6,-652,-896,-16585,-2,-7,-9,-642,-863,-16609,-2,-4,-5,-662,-911,-16610,0,-4,-3
244,-671,-870,-16627,3,-14,-5,-643,-871,-16635,2,-12,-4,-635,-902,-16615,2,-10,-2,-612,-882,-16584,0,-6,-1,-692,-914,-16638,-1,-5,-7
245,-684,-909,-16611,1,-9,-2,-644,-921,-16593,1,-9,-3,-663,-894,-16572,-1,-7,-6,-669,-904,-16600,-2,-3,-7,-628,-900,-16609,-1,-7,-4
246,-660,-887,-16628,-3,-7,-4,-653,-925,-16579,-2,-7,-5,-657,-914,-16594,-2,-7,-4,-636,-898,-16619,-1,-8,-3,-665,-911,-16600,0,-9,-7
247,-643,-906,-16600,-2,-8,-5,-642,-900,-16614,0,-6,-4,-680,-917,-16558,0,-5,-5,-638,-899,-16620,-2,-6,-6,-674,-878,-16636,0,-8,-3
248,-649,-931,-16658,1,-10,-3,-593,-933,-16627,-2,-13,-3,-633,-941,-16618,0,-14,-4,-644,-916,-16639,2,-14,-5,-613,-962,-16625,1,-13,-4
249,-423,-996,-16532,2,19,7,-333,-989,-16568,-30,1,6,-516,-1057,-16695,-60,-10,2,-448,-944,-16693,-128,2,-13,-513,-1006,-16619,-166,19,-26
250,211,-273,-16717,29,-37,-23,212,-274,-16651,24,-26,-20,67,-189,-16648,28,-16,-19,131,-111,-16530,39,-9,-22,57,-115,-16342,45,-4,-32
251,255,-1140,-16980,277,-49,-240,27,-970,-16653,227,-11,-192,221,-1219,-16619,168,-4,-144,446,-1261,-16810,130,-14,-122,432,-1262,-16650,107,-17,-115
252,1505,484,-16629,24,-58,912,1011,426,-16784,16,-34,859,873,120,-16758,11,-29,801,903,102,-16715,5,-26,763,659,324,-16805,-6,-17,740
